temp,rain_1h,snow_1h,clouds_all,hour,day,month,traffic_level
288.28,0.0,0.0,40,9,1,10,High
289.36,0.0,0.0,75,10,1,10,High
289.58,0.0,0.0,90,11,1,10,High
290.13,0.0,0.0,90,12,1,10,High
291.14,0.0,0.0,75,13,1,10,High
291.72,0.0,0.0,1,14,1,10,High
293.17,0.0,0.0,1,15,1,10,High
293.86,0.0,0.0,1,16,1,10,High
294.14,0.0,0.0,20,17,1,10,High
293.1,0.0,0.0,20,18,1,10,High
290.97,0.0,0.0,20,19,1,10,Medium
289.38,0.0,0.0,1,20,1,10,Medium
288.61,0.0,0.0,1,21,1,10,Medium
287.16,0.0,0.0,1,22,1,10,Low
285.45,0.0,0.0,1,23,1,10,Low
284.63,0.0,0.0,1,0,2,10,Low
283.47,0.0,0.0,1,1,2,10,Low
281.18,0.0,0.0,1,2,2,10,Low
281.09,0.0,0.0,1,3,2,10,Low
279.53,0.0,0.0,1,4,2,10,Low
278.62,0.0,0.0,1,5,2,10,Medium
278.23,0.0,0.0,1,6,2,10,High
278.12,0.0,0.0,1,8,2,10,High
282.48,0.0,0.0,1,9,2,10,High
291.97,0.0,0.0,1,12,2,10,High
293.23,0.0,0.0,1,13,2,10,High
294.31,0.0,0.0,1,14,2,10,High
295.17,0.0,0.0,1,15,2,10,High
295.13,0.0,0.0,1,16,2,10,High
293.66,0.0,0.0,20,18,2,10,High
290.65,0.0,0.0,20,19,2,10,Medium
288.19,0.0,0.0,20,20,2,10,Medium
287.1,0.0,0.0,1,21,2,10,Medium
286.25,0.0,0.0,1,22,2,10,Low
285.26,0.0,0.0,1,23,2,10,Low
284.55,0.0,0.0,1,0,3,10,Low
283.47,0.0,0.0,1,1,3,10,Low
283.17,0.0,0.0,1,2,3,10,Low
282.04,0.0,0.0,1,3,3,10,Low
281.69,0.0,0.0,1,4,3,10,Low
281.32,0.0,0.0,1,5,3,10,Medium
280.74,0.0,0.0,1,6,3,10,High
280.57,0.0,0.0,1,7,3,10,High
281.86,0.0,0.0,1,8,3,10,High
284.98,0.0,0.0,1,9,3,10,High
289.18,0.0,0.0,1,10,3,10,High
291.55,0.0,0.0,1,11,3,10,High
294.97,0.0,0.0,1,12,3,10,High
296.38,0.0,0.0,1,13,3,10,High
297.32,0.0,0.0,1,14,3,10,High
298.17,0.0,0.0,1,15,3,10,High
298.06,0.0,0.0,20,16,3,10,High
297.67,0.0,0.0,20,17,3,10,High
296.36,0.0,0.0,40,18,3,10,High
293.85,0.0,0.0,40,19,3,10,Medium
292.43,0.0,0.0,40,20,3,10,Medium
291.77,0.0,0.0,75,21,3,10,Medium
291.36,0.0,0.0,75,22,3,10,Low
291.12,0.0,0.0,75,23,3,10,Low
290.63,0.0,0.0,75,0,4,10,Low
290.46,0.0,0.0,40,1,4,10,Low
289.26,0.0,0.0,0,3,4,10,Low
283.21,0.0,0.0,75,5,4,10,Medium
282.24,0.0,0.0,90,6,4,10,High
281.69,0.0,0.0,90,7,4,10,High
280.57,0.0,0.0,90,8,4,10,High
280.02,0.0,0.0,75,9,4,10,High
280.11,0.0,0.0,75,10,4,10,High
280.0,0.0,0.0,90,11,4,10,High
280.53,0.0,0.0,90,12,4,10,High
281.43,0.0,0.0,75,13,4,10,High
281.78,0.0,0.0,90,14,4,10,High
281.91,0.0,0.0,90,15,4,10,High
281.73,0.0,0.0,90,16,4,10,High
281.42,0.0,0.0,90,17,4,10,High
280.87,0.0,0.0,90,18,4,10,High
280.15,0.0,0.0,90,19,4,10,High
279.78,0.0,0.0,90,20,4,10,Medium
279.65,0.0,0.0,75,21,4,10,Medium
279.22,0.0,0.0,40,22,4,10,Medium
279.06,0.0,0.0,40,23,4,10,Low
278.81,0.0,0.0,90,0,5,10,Low
278.55,0.0,0.0,90,1,5,10,Low
278.59,0.0,0.0,90,2,5,10,Low
276.99,0.0,0.0,75,4,5,10,Low
276.35,0.0,0.0,20,5,5,10,Low
275.4,0.0,0.0,1,6,5,10,Low
275.17,0.0,0.0,1,7,5,10,Medium
274.99,0.0,0.0,1,8,5,10,Medium
275.09,0.0,0.0,40,9,5,10,High
276.88,0.0,0.0,20,10,5,10,High
278.04,0.0,0.0,20,11,5,10,High
279.08,0.0,0.0,40,12,5,10,High
280.12,0.0,0.0,75,13,5,10,High
280.25,0.0,0.0,75,14,5,10,High
280.0,0.0,0.0,75,15,5,10,High
279.06,0.0,0.0,90,16,5,10,High
278.91,0.0,0.0,90,17,5,10,High
278.39,0.0,0.0,90,18,5,10,High
278.16,0.0,0.0,90,19,5,10,Medium
278.16,0.0,0.0,90,20,5,10,Medium
277.93,0.0,0.0,90,21,5,10,Medium
276.9,0.0,0.0,90,22,5,10,Medium
276.34,0.0,0.0,75,23,5,10,Low
276.11,0.0,0.0,75,0,6,10,Low
275.73,0.0,0.0,90,3,6,10,Low
275.65,0.0,0.0,90,4,6,10,Low
275.51,0.0,0.0,75,5,6,10,Low
275.05,0.0,0.0,90,6,6,10,Low
274.77,0.0,0.0,90,7,6,10,Low
274.77,0.0,0.0,75,8,6,10,Medium
275.55,0.0,0.0,75,9,6,10,High
276.24,0.0,0.0,75,10,6,10,High
277.01,0.0,0.0,90,11,6,10,High
277.43,0.0,0.0,90,12,6,10,High
278.45,0.0,0.0,90,13,6,10,High
